question_number,overall_score,technical_accuracy,completeness,clarity,depth,practicality
1,8.0,9.0,9.0,8.0,7.0,7.0
2,8.2,8.0,10.0,8.0,6.0,9.0
3,8.7,9.5,9.0,9.0,7.0,9.0
4,8.7,9.5,9.0,9.0,7.0,9.0
5,8.7,9.5,9.0,8.0,7.0,10.0
6,8.7,9.5,9.0,9.0,7.0,9.0
7,8.5,9.5,9.0,8.0,7.0,9.0
8,9.1,9.5,9.0,9.0,8.0,10.0
9,8.9,9.5,10.0,8.0,8.0,9.0
10,8.5,9.5,9.0,8.0,7.0,9.0
11,8.5,9.5,10.0,8.0,7.0,8.0
12,9.1,9.5,10.0,8.0,8.0,10.0
13,8.5,8.5,10.0,8.0,7.0,9.0
14,8.7,9.5,10.0,8.0,8.0,8.0
15,8.5,9.5,10.0,8.0,8.0,7.0
16,8.7,9.5,9.0,8.0,7.0,10.0
17,8.7,8.5,10.0,8.0,7.0,10.0
18,8.5,9.5,9.0,8.0,7.0,9.0
19,8.7,9.5,9.0,9.0,7.0,9.0
20,8.5,9.5,10.0,8.0,8.0,7.0
21,8.9,9.5,9.0,9.0,8.0,9.0
22,8.8,9.0,9.0,9.0,8.0,9.0
23,9.1,9.5,10.0,8.0,8.0,10.0
24,8.5,9.5,9.0,8.0,7.0,9.0
